ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x013124,78116,0,88,0x013270,0x02B270,78448
0x013124,78116,1,56,0x0134E8,0x02B4E8,79080
0x013124,78116,2,11,0x013E20,0x02BE20,81440
0x013124,78116,3,11,0x013E2B,0x02BE2B,81451
0x013124,78116,4,11,0x013E36,0x02BE36,81462
0x013124,78116,5,55,0x013E41,0x02BE41,81473
0x013124,78116,6,362,0x01572D,0x02D72D,87853
0x013124,78116,7,14,0x013E78,0x02BE78,81528
0x013124,78116,8,19,0x013E86,0x02BE86,81542
0x013124,78116,9,17,0x013E99,0x02BE99,81561
0x013124,78116,10,32,0x013EAA,0x02BEAA,81578
0x013124,78116,11,34,0x013ECA,0x02BECA,81610
0x013124,78116,12,28,0x013EEC,0x02BEEC,81644
0x013124,78116,13,41,0x013F08,0x02BF08,81672
0x013124,78116,14,19,0x013F31,0x02BF31,81713
0x013124,78116,15,42,0x013F44,0x02BF44,81732
0x013124,78116,16,43,0x01415E,0x02C15E,82270
0x013124,78116,17,39,0x014282,0x02C282,82562
0x013124,78116,18,36,0x0151AB,0x02D1AB,86443
0x013124,78116,19,484,0x0151CF,0x02D1CF,86479
0x013124,78116,20,51,0x014B1C,0x02CB1C,84764
0x013124,78116,21,109,0x014B4F,0x02CB4F,84815
0x013124,78116,22,25,0x014BBC,0x02CBBC,84924
0x013124,78116,23,1,0x0132C8,0x02B2C8,78536
0x013124,78116,24,1,0x0132C9,0x02B2C9,78537
0x013124,78116,25,394,0x013537,0x02B537,79159
0x013124,78116,26,28,0x0143A7,0x02C3A7,82855
0x013124,78116,27,28,0x0143C3,0x02C3C3,82883
0x013124,78116,28,28,0x0143DF,0x02C3DF,82911
0x013124,78116,29,391,0x01542D,0x02D42D,87085
0x013124,78116,30,19,0x013427,0x02B427,78887
0x013124,78116,31,54,0x01343A,0x02B43A,78906
0x013124,78116,32,115,0x013F6E,0x02BF6E,81774
0x013124,78116,33,77,0x013FE1,0x02BFE1,81889
0x013124,78116,34,35,0x01402E,0x02C02E,81966
0x013124,78116,35,34,0x014051,0x02C051,82001
0x013124,78116,36,34,0x014073,0x02C073,82035
0x013124,78116,37,28,0x014095,0x02C095,82069
0x013124,78116,38,173,0x0140B1,0x02C0B1,82097
0x013124,78116,39,57,0x014189,0x02C189,82313
0x013124,78116,40,22,0x0141C2,0x02C1C2,82370
0x013124,78116,41,60,0x0141D8,0x02C1D8,82392
0x013124,78116,42,60,0x014214,0x02C214,82452
0x013124,78116,43,35,0x014250,0x02C250,82512
0x013124,78116,44,15,0x014273,0x02C273,82547
0x013124,78116,45,20,0x0142A9,0x02C2A9,82601
0x013124,78116,46,37,0x0142BD,0x02C2BD,82621
0x013124,78116,47,54,0x0142F5,0x02C2F5,82677
0x013124,78116,48,31,0x01432B,0x02C32B,82731
0x013124,78116,49,37,0x01434A,0x02C34A,82762
0x013124,78116,50,21,0x01436F,0x02C36F,82799
0x013124,78116,51,18,0x014384,0x02C384,82820
0x013124,78116,52,17,0x014396,0x02C396,82838
0x013124,78116,53,487,0x0143FB,0x02C3FB,82939
0x013124,78116,54,10,0x0145E2,0x02C5E2,83426
0x013124,78116,55,24,0x0145EC,0x02C5EC,83436
0x013124,78116,56,51,0x01461C,0x02C61C,83484
0x013124,78116,57,50,0x01464F,0x02C64F,83535
0x013124,78116,58,67,0x014711,0x02C711,83729
0x013124,78116,59,44,0x013DC1,0x02BDC1,81345
0x013124,78116,60,63,0x0153B3,0x02D3B3,86963
0x013124,78116,61,144,0x014681,0x02C681,83585
0x013124,78116,62,14,0x014754,0x02C754,83796
0x013124,78116,63,162,0x014762,0x02C762,83810
0x013124,78116,64,138,0x014804,0x02C804,83972
0x013124,78116,65,19,0x01488E,0x02C88E,84110
0x013124,78116,66,30,0x014BD5,0x02CBD5,84949
0x013124,78116,67,28,0x014BF3,0x02CBF3,84979
0x013124,78116,68,28,0x014C0F,0x02CC0F,85007
0x013124,78116,69,28,0x014C2B,0x02CC2B,85035
0x013124,78116,70,37,0x014C47,0x02CC47,85063
0x013124,78116,71,28,0x014C6C,0x02CC6C,85100
0x013124,78116,72,51,0x0153FA,0x02D3FA,87034
0x013124,78116,73,87,0x014C88,0x02CC88,85128
