ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x050010,327696,0,2,0x050101,0x0A8101,327937
0x050010,327696,1,2,0x050101,0x0A8101,327937
0x050010,327696,2,6,0x05011A,0x0A811A,327962
0x050010,327696,3,2,0x050484,0x0A8484,328836
0x050010,327696,4,9,0x050494,0x0A8494,328852
0x050010,327696,5,2,0x05049D,0x0A849D,328861
0x050010,327696,6,6,0x0504D2,0x0A84D2,328914
0x050010,327696,7,2,0x0504FB,0x0A84FB,328955
0x050010,327696,8,6,0x050552,0x0A8552,329042
0x050010,327696,9,6,0x05056F,0x0A856F,329071
0x050010,327696,10,19,0x0505EB,0x0A85EB,329195
0x050010,327696,11,2,0x050621,0x0A8621,329249
0x050010,327696,12,17,0x05063D,0x0A863D,329277
0x050010,327696,13,17,0x05064E,0x0A864E,329294
0x050010,327696,14,2,0x05065F,0x0A865F,329311
0x050010,327696,15,32,0x050A68,0x0A8A68,330344
0x050010,327696,16,2,0x050AF1,0x0A8AF1,330481
0x050010,327696,17,2,0x050BC0,0x0A8BC0,330688
0x050010,327696,18,2,0x050D7F,0x0A8D7F,331135
0x050010,327696,19,2,0x050FDB,0x0A8FDB,331739
0x050010,327696,20,2,0x051219,0x0A9219,332313
0x050010,327696,21,2,0x0512D5,0x0A92D5,332501
0x050010,327696,22,2,0x05149A,0x0A949A,332954
0x050010,327696,23,2,0x0515CE,0x0A95CE,333262
0x050010,327696,24,9,0x0518C9,0x0A98C9,334025
0x050010,327696,25,12,0x051928,0x0A9928,334120
0x050010,327696,26,9,0x051AF1,0x0A9AF1,334577
0x050010,327696,27,2,0x051B35,0x0A9B35,334645
0x050010,327696,28,2,0x051BE0,0x0A9BE0,334816
0x050010,327696,29,9,0x051E7E,0x0A9E7E,335486
0x050010,327696,30,2,0x051EC6,0x0A9EC6,335558
0x050010,327696,31,9,0x051EDA,0x0A9EDA,335578
0x050010,327696,32,2,0x051F19,0x0A9F19,335641
0x050010,327696,33,16,0x051F91,0x0A9F91,335761
0x050010,327696,34,16,0x051FBA,0x0A9FBA,335802
0x050010,327696,35,16,0x051FD0,0x0A9FD0,335824
0x050010,327696,36,16,0x051FE6,0x0A9FE6,335846
0x050010,327696,37,16,0x051FFC,0x0A9FFC,335868
0x050010,327696,38,33,0x052037,0x0AA037,335927
0x050010,327696,39,2,0x0521A3,0x0AA1A3,336291
0x050010,327696,40,35,0x0521B2,0x0AA1B2,336306
0x050010,327696,41,35,0x0521B2,0x0AA1B2,336306
0x050010,327696,42,2,0x0521E4,0x0AA1E4,336356
0x050010,327696,43,2,0x0523C4,0x0AA3C4,336836
0x050010,327696,44,2,0x05260D,0x0AA60D,337421
0x050010,327696,45,2,0x052A17,0x0AAA17,338455
0x050010,327696,46,9,0x052A2B,0x0AAA2B,338475
0x050010,327696,47,2,0x052A69,0x0AAA69,338537
0x050010,327696,48,2,0x052B81,0x0AAB81,338817
0x050010,327696,49,29,0x052C2B,0x0AAC2B,338987
0x050010,327696,50,2,0x052C68,0x0AAC68,339048
0x050010,327696,51,2,0x052D74,0x0AAD74,339316
0x050010,327696,52,2,0x052FD3,0x0AAFD3,339923
0x050010,327696,53,33,0x052FE3,0x0AAFE3,339939
0x050010,327696,54,2,0x053004,0x0AB004,339972
0x050010,327696,55,49,0x053018,0x0AB018,339992
0x050010,327696,56,2,0x053049,0x0AB049,340041
0x050010,327696,57,33,0x053059,0x0AB059,340057
0x050010,327696,58,2,0x05307A,0x0AB07A,340090
0x050010,327696,59,29,0x05308A,0x0AB08A,340106
0x050010,327696,60,2,0x0530A7,0x0AB0A7,340135
0x050010,327696,61,6,0x0530DE,0x0AB0DE,340190
0x050010,327696,62,2,0x053119,0x0AB119,340249
0x050010,327696,63,25,0x053129,0x0AB129,340265
0x050010,327696,64,2,0x053142,0x0AB142,340290
0x050010,327696,65,2,0x053142,0x0AB142,340290
0x050010,327696,66,2,0x0532D6,0x0AB2D6,340694
0x050010,327696,67,2,0x0537A4,0x0AB7A4,341924
0x050010,327696,68,2,0x053BC7,0x0ABBC7,342983
0x050010,327696,69,2,0x053D7A,0x0ABD7A,343418
0x050010,327696,70,2,0x054130,0x0AC130,344368
0x050010,327696,71,2,0x05420A,0x0AC20A,344586
0x050010,327696,72,2,0x0542BE,0x0AC2BE,344766
0x050010,327696,73,2,0x0543CA,0x0AC3CA,345034
0x050010,327696,74,2,0x0545F6,0x0AC5F6,345590
0x050010,327696,75,11,0x05475B,0x0AC75B,345947
0x050010,327696,76,9,0x054766,0x0AC766,345958
0x050010,327696,77,9,0x0547C1,0x0AC7C1,346049
0x050010,327696,78,9,0x05481F,0x0AC81F,346143
0x050010,327696,79,9,0x0548A4,0x0AC8A4,346276
0x050010,327696,80,9,0x0548A4,0x0AC8A4,346276
0x050010,327696,81,9,0x0548B7,0x0AC8B7,346295
0x050010,327696,82,2,0x05490F,0x0AC90F,346383
0x050010,327696,83,2,0x054DC1,0x0ACDC1,347585
0x050010,327696,84,20,0x0550C9,0x0AD0C9,348361
0x050010,327696,85,18,0x055169,0x0AD169,348521
0x050010,327696,86,9,0x0551FC,0x0AD1FC,348668
0x050010,327696,87,9,0x055288,0x0AD288,348808
0x050010,327696,88,2,0x0552E1,0x0AD2E1,348897
0x050010,327696,89,2,0x055363,0x0AD363,349027
0x050010,327696,90,2,0x055569,0x0AD569,349545
0x050010,327696,91,9,0x05557D,0x0AD57D,349565
0x050010,327696,92,9,0x0555CE,0x0AD5CE,349646
0x050010,327696,93,2,0x0555E1,0x0AD5E1,349665
0x050010,327696,94,2,0x0556AC,0x0AD6AC,349868
0x050010,327696,95,2,0x05586D,0x0AD86D,350317
