ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x1B8200,1802752,0,29,0x1BAD61,0x37AD61,1813857
0x1B8200,1802752,1,9,0x1BAD7E,0x37AD7E,1813886
0x1B8200,1802752,2,18,0x1BAD87,0x37AD87,1813895
0x1B8200,1802752,3,25,0x1BAD99,0x37AD99,1813913
0x1B8200,1802752,4,53,0x1BADB2,0x37ADB2,1813938
0x1B8200,1802752,5,18,0x1BADE7,0x37ADE7,1813991
0x1B8200,1802752,6,88,0x1BADF9,0x37ADF9,1814009
0x1B8200,1802752,7,132,0x1BAE51,0x37AE51,1814097
0x1B8200,1802752,8,50,0x1BAED5,0x37AED5,1814229
0x1B8200,1802752,9,31,0x1BAF07,0x37AF07,1814279
0x1B8200,1802752,10,36,0x1BAF26,0x37AF26,1814310
0x1B8200,1802752,11,1,0x1BAF4A,0x37AF4A,1814346
0x1B8200,1802752,12,1,0x1BAF4B,0x37AF4B,1814347
0x1B8200,1802752,13,1,0x1BAF4C,0x37AF4C,1814348
0x1B8200,1802752,14,1,0x1BAF4D,0x37AF4D,1814349
0x1B8200,1802752,15,1,0x1BAF4E,0x37AF4E,1814350
0x1B8200,1802752,16,1,0x1BAF4F,0x37AF4F,1814351
0x1B8200,1802752,17,1,0x1BAF50,0x37AF50,1814352
0x1B8200,1802752,18,25,0x1BAF81,0x37AF81,1814401
