ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x01BCA4,113828,0,48,0x01E348,0x03E348,123720
0x01BCA4,113828,1,46,0x01E38E,0x03E38E,123790
0x01BCA4,113828,2,44,0x01E3D2,0x03E3D2,123858
0x01BCA4,113828,3,40,0x01E414,0x03E414,123924
0x01BCA4,113828,4,68,0x01E452,0x03E452,123986
0x01BCA4,113828,5,92,0x01E4AC,0x03E4AC,124076
0x01BCA4,113828,6,41,0x01E51E,0x03E51E,124190
0x01BCA4,113828,7,46,0x01E55D,0x03E55D,124253
0x01BCA4,113828,8,46,0x01E5A1,0x03E5A1,124321
0x01BCA4,113828,9,40,0x01E5E5,0x03E5E5,124389
0x01BCA4,113828,10,64,0x01E623,0x03E623,124451
0x01BCA4,113828,11,72,0x01E679,0x03E679,124537
0x01BCA4,113828,12,61,0x01E6D7,0x03E6D7,124631
0x01BCA4,113828,13,38,0x01E72A,0x03E72A,124714
0x01BCA4,113828,14,67,0x01E766,0x03E766,124774
0x01BCA4,113828,15,27,0x01E7BF,0x03E7BF,124863
0x01BCA4,113828,16,63,0x01E7F0,0x03E7F0,124912
0x01BCA4,113828,17,56,0x01E830,0x03E830,124976
0x01BCA4,113828,18,57,0x01E869,0x03E869,125033
0x01BCA4,113828,19,57,0x01E8A3,0x03E8A3,125091
0x01BCA4,113828,20,57,0x01E8DD,0x03E8DD,125149
0x01BCA4,113828,21,57,0x01E917,0x03E917,125207
0x01BCA4,113828,22,57,0x01E951,0x03E951,125265
0x01BCA4,113828,23,57,0x01E98B,0x03E98B,125323
0x01BCA4,113828,24,57,0x01E9C5,0x03E9C5,125381
0x01BCA4,113828,25,56,0x01E9FF,0x03E9FF,125439
0x01BCA4,113828,26,62,0x01EA38,0x03EA38,125496
0x01BCA4,113828,27,2,0x01EA77,0x03EA77,125559
0x01BCA4,113828,28,2,0x01EAF8,0x03EAF8,125688
0x01BCA4,113828,29,113,0x01EB74,0x03EB74,125812
0x01BCA4,113828,30,22,0x01EBE6,0x03EBE6,125926
0x01BCA4,113828,31,100,0x01EBFD,0x03EBFD,125949
0x01BCA4,113828,32,112,0x01EC62,0x03EC62,126050
0x01BCA4,113828,33,141,0x01ECD3,0x03ECD3,126163
0x01BCA4,113828,34,42,0x01ED61,0x03ED61,126305
0x01BCA4,113828,35,124,0x01ED8C,0x03ED8C,126348
0x01BCA4,113828,36,68,0x01EE09,0x03EE09,126473
0x01BCA4,113828,37,62,0x01EFB3,0x03EFB3,126899
0x01BCA4,113828,38,56,0x01EFF2,0x03EFF2,126962
0x01BCA4,113828,39,173,0x01F02B,0x03F02B,127019
0x01BCA4,113828,40,168,0x01F0D9,0x03F0D9,127193
0x01BCA4,113828,41,51,0x01F182,0x03F182,127362
0x01BCA4,113828,42,83,0x01F1B6,0x03F1B6,127414
0x01BCA4,113828,43,48,0x01F20A,0x03F20A,127498
0x01BCA4,113828,44,59,0x01F23B,0x03F23B,127547
0x01BCA4,113828,45,63,0x01F277,0x03F277,127607
