ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x1B0800,1771520,0,8,0x1B1200,0x369200,1774080
0x1B0800,1771520,1,28,0x1B1208,0x369208,1774088
0x1B0800,1771520,2,7,0x1B1240,0x369240,1774144
0x1B0800,1771520,3,7,0x1B1257,0x369257,1774167
0x1B0800,1771520,4,8,0x1B1265,0x369265,1774181
0x1B0800,1771520,5,9,0x1B126D,0x36926D,1774189
0x1B0800,1771520,6,10,0x1B1281,0x369281,1774209
0x1B0800,1771520,7,7,0x1B1296,0x369296,1774230
0x1B0800,1771520,8,9,0x1B12A3,0x3692A3,1774243
0x1B0800,1771520,9,12,0x1B12BE,0x3692BE,1774270
0x1B0800,1771520,10,8,0x1B12D8,0x3692D8,1774296
0x1B0800,1771520,11,7,0x1B12E8,0x3692E8,1774312
0x1B0800,1771520,12,1,0x1B12F5,0x3692F5,1774325
0x1B0800,1771520,13,6,0x1B12F6,0x3692F6,1774326
0x1B0800,1771520,14,6,0x1B1303,0x369303,1774339
0x1B0800,1771520,15,6,0x1B1310,0x369310,1774352
0x1B0800,1771520,16,7,0x1B1327,0x369327,1774375
0x1B0800,1771520,17,9,0x1B133C,0x36933C,1774396
0x1B0800,1771520,18,21,0x1B1353,0x369353,1774419
0x1B0800,1771520,19,14,0x1B1390,0x369390,1774480
0x1B0800,1771520,20,6,0x1B13CF,0x3693CF,1774543
0x1B0800,1771520,21,13,0x1B13DD,0x3693DD,1774557
0x1B0800,1771520,22,1,0x1B13FD,0x3693FD,1774589
0x1B0800,1771520,23,8,0x1B13FE,0x3693FE,1774590
0x1B0800,1771520,24,11,0x1B1406,0x369406,1774598
0x1B0800,1771520,25,28,0x1B1429,0x369429,1774633
0x1B0800,1771520,26,16,0x1B1458,0x369458,1774680
0x1B0800,1771520,27,13,0x1B1472,0x369472,1774706
0x1B0800,1771520,28,8,0x1B1497,0x369497,1774743
0x1B0800,1771520,29,9,0x1B14A7,0x3694A7,1774759
0x1B0800,1771520,30,7,0x1B14CC,0x3694CC,1774796
0x1B0800,1771520,31,7,0x1B14EC,0x3694EC,1774828
0x1B0800,1771520,32,6,0x1B1510,0x369510,1774864
0x1B0800,1771520,33,8,0x1B1516,0x369516,1774870
0x1B0800,1771520,34,18,0x1B153B,0x36953B,1774907
0x1B0800,1771520,35,7,0x1B158B,0x36958B,1774987
