data_table_dec,index,length,pc_dec
73808,0,8,73808
73808,1,8,73816
73808,2,8,73824
73808,3,8,73832
73808,4,8,73840
73808,5,8,73848
73808,6,8,73856
73808,7,8,73864
73808,8,8,73872
73808,9,8,73880
73808,10,8,73888
73808,11,8,73896
73808,12,8,73904
73808,13,8,73912
73808,14,8,73920
73808,15,8,73928
73808,16,8,73936
73808,17,8,73944
73808,18,8,73952
73808,19,8,73960
73808,20,8,73968
73808,21,8,73976
73808,22,8,73984
73808,23,8,73992
73808,24,8,74000
73808,25,8,74008
73808,26,8,74016
73808,27,8,74024
73808,28,8,74032
73808,29,8,74040
73808,30,8,74048
73808,31,8,74056
73808,32,8,74064
73808,33,8,74072
73808,34,8,74080
73808,35,8,74088
73808,36,8,74096
73808,37,8,74104
73808,38,8,74112
73808,39,8,74120
73808,40,8,74128
73808,41,8,74136
73808,42,8,74144
73808,43,8,74152
73808,44,8,74160
73808,45,8,74168
73808,46,8,74176
73808,47,8,74184
73808,48,8,74192
73808,49,8,74200
73808,50,8,74208
73808,51,8,74216
73808,52,8,74224
73808,53,8,74232
73808,54,8,74240
73808,55,8,74248
73808,56,8,74256
73808,57,8,74264
73808,58,8,74272
73808,59,8,74280
73808,60,8,74288
73808,61,8,74296
73808,62,8,74304
73808,63,8,74312
73808,64,8,74320
73808,65,8,74328
73808,66,8,74336
73808,67,8,74344
73808,68,8,74352
73808,69,8,74360
73808,70,8,74368
73808,71,8,74376
73808,72,8,74384
73808,73,8,74392
73808,74,8,74400
73808,75,8,74408
73808,76,8,74416
73808,77,8,74424
73808,78,8,74432
73808,79,8,74440
73808,80,8,74448
73808,81,8,74456
73808,82,8,74464
73808,83,8,74472
73808,84,8,74480
73808,85,8,74488
73808,86,8,74496
73808,87,8,74504
73808,88,8,74512
73808,89,8,74520
73808,90,8,74528
73808,91,8,74536
73808,92,8,74544
73808,93,8,74552
73808,94,8,74560
73808,95,8,74568
73808,96,8,74576
73808,97,8,74584
73808,98,8,74592
73808,99,8,74600
73808,100,8,74608
73808,101,8,74616
73808,102,8,74624
73808,103,8,74632
73808,104,8,74640
73808,105,8,74648
73808,106,8,74656
73808,107,8,74664
73808,108,8,74672
73808,109,8,74680
73808,110,8,74688
73808,111,8,74696
73808,112,8,74704
73808,113,8,74712
73808,114,8,74720
73808,115,8,74728
73808,116,8,74736
73808,117,8,74744
73808,118,8,74752
73808,119,8,74760
73808,120,8,74768
73808,121,8,74776
73808,122,8,74784
73808,123,8,74792
73808,124,8,74800
73808,125,8,74808
73808,126,8,74816
73808,127,8,74824
73808,128,8,74832
73808,129,8,74840
73808,130,8,74848
73808,131,8,74856
73808,132,8,74864
73808,133,8,74872
73808,134,8,74880
73808,135,8,74888
73808,136,8,74896
73808,137,8,74904
73808,138,8,74912
73808,139,8,74920
73808,140,8,74928
73808,141,8,74936
73808,142,8,74944
73808,143,8,74952
73808,144,8,74960
73808,145,8,74968
