ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x013100,78080,0,23,0x013520,0x02B520,79136
0x013100,78080,1,17,0x013565,0x02B565,79205
0x013100,78080,2,8,0x0136C1,0x02B6C1,79553
0x013100,78080,3,8,0x013742,0x02B742,79682
0x013100,78080,4,8,0x01384F,0x02B84F,79951
0x013100,78080,5,8,0x0138CD,0x02B8CD,80077
0x013100,78080,6,37,0x0139E1,0x02B9E1,80353
0x013100,78080,7,8,0x013A73,0x02BA73,80499
0x013100,78080,8,23,0x013AC8,0x02BAC8,80584
0x013100,78080,9,128,0x013ADF,0x02BADF,80607
0x013100,78080,10,38,0x013BD1,0x02BBD1,80849
0x013100,78080,11,18,0x013BF7,0x02BBF7,80887
0x013100,78080,12,18,0x013C09,0x02BC09,80905
0x013100,78080,13,18,0x013D21,0x02BD21,81185
0x013100,78080,14,17,0x013D33,0x02BD33,81203
0x013100,78080,15,52,0x013D8D,0x02BD8D,81293
0x013100,78080,16,41,0x013DED,0x02BDED,81389
0x013100,78080,17,10,0x013E16,0x02BE16,81430
