ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x1B8100,1802496,0,141,0x1B9880,0x379880,1808512
0x1B8100,1802496,1,25,0x1B990D,0x37990D,1808653
0x1B8100,1802496,2,64,0x1B9926,0x379926,1808678
0x1B8100,1802496,3,68,0x1B9966,0x379966,1808742
0x1B8100,1802496,4,21,0x1B99AA,0x3799AA,1808810
0x1B8100,1802496,5,24,0x1B99BF,0x3799BF,1808831
0x1B8100,1802496,6,13,0x1B99D7,0x3799D7,1808855
0x1B8100,1802496,7,1,0x1B99E4,0x3799E4,1808868
0x1B8100,1802496,8,1,0x1B99E5,0x3799E5,1808869
0x1B8100,1802496,9,1,0x1B99E6,0x3799E6,1808870
0x1B8100,1802496,10,22,0x1B99E7,0x3799E7,1808871
0x1B8100,1802496,11,21,0x1B99FD,0x3799FD,1808893
0x1B8100,1802496,12,20,0x1B9A12,0x379A12,1808914
0x1B8100,1802496,13,16,0x1B9A26,0x379A26,1808934
0x1B8100,1802496,14,45,0x1B9A36,0x379A36,1808950
0x1B8100,1802496,15,26,0x1B9A63,0x379A63,1808995
0x1B8100,1802496,16,25,0x1B9A7D,0x379A7D,1809021
0x1B8100,1802496,17,1,0x1B9A96,0x379A96,1809046
0x1B8100,1802496,18,1,0x1B9A97,0x379A97,1809047
0x1B8100,1802496,19,60,0x1B9A98,0x379A98,1809048
0x1B8100,1802496,20,24,0x1B9AD4,0x379AD4,1809108
0x1B8100,1802496,21,21,0x1B9AEC,0x379AEC,1809132
0x1B8100,1802496,22,23,0x1B9B01,0x379B01,1809153
0x1B8100,1802496,23,79,0x1B9B18,0x379B18,1809176
0x1B8100,1802496,24,24,0x1B9B67,0x379B67,1809255
0x1B8100,1802496,25,58,0x1B9B7F,0x379B7F,1809279
0x1B8100,1802496,26,47,0x1B9BB9,0x379BB9,1809337
0x1B8100,1802496,27,39,0x1B9BE8,0x379BE8,1809384
0x1B8100,1802496,28,13,0x1B9C0F,0x379C0F,1809423
0x1B8100,1802496,29,97,0x1B9C1C,0x379C1C,1809436
0x1B8100,1802496,30,85,0x1B9C7D,0x379C7D,1809533
0x1B8100,1802496,31,9,0x1B9CD2,0x379CD2,1809618
0x1B8100,1802496,32,26,0x1B9CDB,0x379CDB,1809627
0x1B8100,1802496,33,55,0x1B9CF5,0x379CF5,1809653
0x1B8100,1802496,34,17,0x1B9D2C,0x379D2C,1809708
0x1B8100,1802496,35,111,0x1B9D3D,0x379D3D,1809725
0x1B8100,1802496,36,64,0x1B9DAC,0x379DAC,1809836
0x1B8100,1802496,37,70,0x1B9DEC,0x379DEC,1809900
0x1B8100,1802496,38,86,0x1B9E32,0x379E32,1809970
0x1B8100,1802496,39,22,0x1B9E88,0x379E88,1810056
0x1B8100,1802496,40,47,0x1B9E9E,0x379E9E,1810078
0x1B8100,1802496,41,19,0x1B9ECD,0x379ECD,1810125
0x1B8100,1802496,42,18,0x1B9EE0,0x379EE0,1810144
0x1B8100,1802496,43,23,0x1B9EF2,0x379EF2,1810162
0x1B8100,1802496,44,1,0x1B9F09,0x379F09,1810185
0x1B8100,1802496,45,1,0x1B9F0A,0x379F0A,1810186
0x1B8100,1802496,46,1,0x1B9F0B,0x379F0B,1810187
0x1B8100,1802496,47,20,0x1B9F0C,0x379F0C,1810188
0x1B8100,1802496,48,63,0x1B9F20,0x379F20,1810208
0x1B8100,1802496,49,49,0x1B9F5F,0x379F5F,1810271
0x1B8100,1802496,50,10,0x1B9F90,0x379F90,1810320
0x1B8100,1802496,51,9,0x1B9F9A,0x379F9A,1810330
0x1B8100,1802496,52,42,0x1B9FA3,0x379FA3,1810339
0x1B8100,1802496,53,20,0x1B9FCD,0x379FCD,1810381
0x1B8100,1802496,54,10,0x1B9FE1,0x379FE1,1810401
0x1B8100,1802496,55,11,0x1B9FEB,0x379FEB,1810411
0x1B8100,1802496,56,14,0x1B9FF6,0x379FF6,1810422
0x1B8100,1802496,57,11,0x1BA004,0x37A004,1810436
0x1B8100,1802496,58,1,0x1BA00F,0x37A00F,1810447
0x1B8100,1802496,59,1,0x1BA010,0x37A010,1810448
0x1B8100,1802496,60,1,0x1BA011,0x37A011,1810449
0x1B8100,1802496,61,1,0x1BA012,0x37A012,1810450
0x1B8100,1802496,62,1,0x1BA013,0x37A013,1810451
0x1B8100,1802496,63,1,0x1BA014,0x37A014,1810452
0x1B8100,1802496,64,21,0x1BA015,0x37A015,1810453
0x1B8100,1802496,65,40,0x1BA02A,0x37A02A,1810474
0x1B8100,1802496,66,92,0x1BA052,0x37A052,1810514
0x1B8100,1802496,67,284,0x1BA0AE,0x37A0AE,1810606
