ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x01BBB4,113588,0,2,0x01C0F1,0x03C0F1,114929
0x01BBB4,113588,1,2,0x01C114,0x03C114,114964
0x01BBB4,113588,2,2,0x01C137,0x03C137,114999
0x01BBB4,113588,3,2,0x01C15A,0x03C15A,115034
0x01BBB4,113588,4,2,0x01C17D,0x03C17D,115069
0x01BBB4,113588,5,2,0x01C1AC,0x03C1AC,115116
0x01BBB4,113588,6,2,0x01C2AE,0x03C2AE,115374
0x01BBB4,113588,7,2,0x01C3A5,0x03C3A5,115621
0x01BBB4,113588,8,2,0x01C4F8,0x03C4F8,115960
0x01BBB4,113588,9,2,0x01C650,0x03C650,116304
0x01BBB4,113588,10,2,0x01C6A2,0x03C6A2,116386
0x01BBB4,113588,11,2,0x01C6C9,0x03C6C9,116425
0x01BBB4,113588,12,2,0x01C6F6,0x03C6F6,116470
0x01BBB4,113588,13,2,0x01C750,0x03C750,116560
0x01BBB4,113588,14,2,0x01C7AA,0x03C7AA,116650
0x01BBB4,113588,15,2,0x01C818,0x03C818,116760
0x01BBB4,113588,16,2,0x01C818,0x03C818,116760
0x01BBB4,113588,17,2,0x01C818,0x03C818,116760
0x01BBB4,113588,18,2,0x01C818,0x03C818,116760
0x01BBB4,113588,19,2,0x01C818,0x03C818,116760
0x01BBB4,113588,20,2,0x01C818,0x03C818,116760
0x01BBB4,113588,21,2,0x01C818,0x03C818,116760
0x01BBB4,113588,22,2,0x01C818,0x03C818,116760
0x01BBB4,113588,23,2,0x01C818,0x03C818,116760
0x01BBB4,113588,24,2,0x01C83B,0x03C83B,116795
0x01BBB4,113588,25,2,0x01C85E,0x03C85E,116830
0x01BBB4,113588,26,4,0x01C8B3,0x03C8B3,116915
0x01BBB4,113588,27,2,0x01C94E,0x03C94E,117070
0x01BBB4,113588,28,2,0x01C971,0x03C971,117105
0x01BBB4,113588,29,2,0x01C994,0x03C994,117140
0x01BBB4,113588,30,2,0x01C9B7,0x03C9B7,117175
0x01BBB4,113588,31,2,0x01C9DA,0x03C9DA,117210
0x01BBB4,113588,32,2,0x01C9FD,0x03C9FD,117245
0x01BBB4,113588,33,2,0x01CA20,0x03CA20,117280
0x01BBB4,113588,34,2,0x01CA43,0x03CA43,117315
0x01BBB4,113588,35,2,0x01CA70,0x03CA70,117360
0x01BBB4,113588,36,2,0x01CA9D,0x03CA9D,117405
0x01BBB4,113588,37,2,0x01CACA,0x03CACA,117450
0x01BBB4,113588,38,2,0x01CAF7,0x03CAF7,117495
0x01BBB4,113588,39,2,0x01CB29,0x03CB29,117545
0x01BBB4,113588,40,2,0x01CB56,0x03CB56,117590
0x01BBB4,113588,41,2,0x01CB83,0x03CB83,117635
0x01BBB4,113588,42,2,0x01CBB0,0x03CBB0,117680
0x01BBB4,113588,43,28,0x01CC4B,0x03CC4B,117835
0x01BBB4,113588,44,28,0x01CC6A,0x03CC6A,117866
0x01BBB4,113588,45,28,0x01CC89,0x03CC89,117897
0x01BBB4,113588,46,28,0x01CCA8,0x03CCA8,117928
0x01BBB4,113588,47,28,0x01CCC7,0x03CCC7,117959
0x01BBB4,113588,48,28,0x01CCE6,0x03CCE6,117990
0x01BBB4,113588,49,28,0x01CD05,0x03CD05,118021
0x01BBB4,113588,50,33,0x01CD24,0x03CD24,118052
0x01BBB4,113588,51,33,0x01CD48,0x03CD48,118088
0x01BBB4,113588,52,33,0x01CD6C,0x03CD6C,118124
0x01BBB4,113588,53,33,0x01CD90,0x03CD90,118160
0x01BBB4,113588,54,33,0x01CDB4,0x03CDB4,118196
0x01BBB4,113588,55,33,0x01CDD8,0x03CDD8,118232
0x01BBB4,113588,56,33,0x01CDFC,0x03CDFC,118268
0x01BBB4,113588,57,33,0x01CE20,0x03CE20,118304
0x01BBB4,113588,58,38,0x01CE44,0x03CE44,118340
0x01BBB4,113588,59,38,0x01CE6D,0x03CE6D,118381
