ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x01BD00,113920,0,64,0x01F2B7,0x03F2B7,127671
0x01BD00,113920,1,25,0x01F2F9,0x03F2F9,127737
0x01BD00,113920,2,64,0x01F33E,0x03F33E,127806
0x01BD00,113920,3,60,0x01F3B3,0x03F3B3,127923
0x01BD00,113920,4,34,0x01F3F1,0x03F3F1,127985
0x01BD00,113920,5,34,0x01F46F,0x03F46F,128111
0x01BD00,113920,6,34,0x01F57B,0x03F57B,128379
0x01BD00,113920,7,60,0x01F5D4,0x03F5D4,128468
0x01BD00,113920,8,52,0x01F628,0x03F628,128552
0x01BD00,113920,9,42,0x01F706,0x03F706,128774
0x01BD00,113920,10,38,0x01F746,0x03F746,128838
0x01BD00,113920,11,25,0x01F782,0x03F782,128898
0x01BD00,113920,12,22,0x01F7B1,0x03F7B1,128945
0x01BD00,113920,13,33,0x01F7DD,0x03F7DD,128989
0x01BD00,113920,14,39,0x01F814,0x03F814,129044
0x01BD00,113920,15,29,0x01F851,0x03F851,129105
0x01BD00,113920,16,34,0x01F884,0x03F884,129156
0x01BD00,113920,17,29,0x01F8BC,0x03F8BC,129212
0x01BD00,113920,18,34,0x01F8EF,0x03F8EF,129263
0x01BD00,113920,19,45,0x01F927,0x03F927,129319
0x01BD00,113920,20,63,0x01F96A,0x03F96A,129386
0x01BD00,113920,21,12,0x01F9AB,0x03F9AB,129451
0x01BD00,113920,22,45,0x01FA0F,0x03FA0F,129551
0x01BD00,113920,23,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,24,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,25,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,26,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,27,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,28,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,29,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,30,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,31,5,0x01FA3E,0x03FA3E,129598
0x01BD00,113920,32,5,0x01FA3E,0x03FA3E,129598
