ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x030800,198656,0,55,0x035AE0,0x06DAE0,219872
0x030800,198656,1,69,0x035B30,0x06DB30,219952
0x030800,198656,2,71,0x035B85,0x06DB85,220037
0x030800,198656,3,74,0x035BDC,0x06DBDC,220124
0x030800,198656,4,91,0x035C3F,0x06DC3F,220223
0x030800,198656,5,65,0x035CAA,0x06DCAA,220330
0x030800,198656,6,80,0x035CFB,0x06DCFB,220411
0x030800,198656,7,73,0x035D5B,0x06DD5B,220507
0x030800,198656,8,66,0x035DB7,0x06DDB7,220599
0x030800,198656,9,66,0x035E09,0x06DE09,220681
0x030800,198656,10,65,0x035E5E,0x06DE5E,220766
0x030800,198656,11,58,0x035EB7,0x06DEB7,220855
0x030800,198656,12,56,0x035F09,0x06DF09,220937
0x030800,198656,13,67,0x035F58,0x06DF58,221016
0x030800,198656,14,59,0x035FAB,0x06DFAB,221099
0x030800,198656,15,75,0x035FF6,0x06DFF6,221174
0x030800,198656,16,68,0x036059,0x06E059,221273
0x030800,198656,17,99,0x0360B1,0x06E0B1,221361
0x030800,198656,18,87,0x03612F,0x06E12F,221487
0x030800,198656,19,70,0x03619C,0x06E19C,221596
0x030800,198656,20,75,0x0361F5,0x06E1F5,221685
0x030800,198656,21,59,0x03624D,0x06E24D,221773
0x030800,198656,22,82,0x036295,0x06E295,221845
0x030800,198656,23,116,0x0362FB,0x06E2FB,221947
0x030800,198656,24,59,0x03638A,0x06E38A,222090
0x030800,198656,25,82,0x0363F3,0x06E3F3,222195
0x030800,198656,26,87,0x036461,0x06E461,222305
0x030800,198656,27,80,0x0364C5,0x06E4C5,222405
0x030800,198656,28,126,0x036522,0x06E522,222498
0x030800,198656,29,84,0x0365C6,0x06E5C6,222662
0x030800,198656,30,82,0x036636,0x06E636,222774
0x030800,198656,31,77,0x03669E,0x06E69E,222878
0x030800,198656,32,94,0x036708,0x06E708,222984
0x030800,198656,33,84,0x036773,0x06E773,223091
0x030800,198656,34,88,0x0367E1,0x06E7E1,223201
0x030800,198656,35,104,0x036864,0x06E864,223332
0x030800,198656,36,98,0x0368EF,0x06E8EF,223471
0x030800,198656,37,94,0x03697D,0x06E97D,223613
0x030800,198656,38,84,0x0369E8,0x06E9E8,223720
0x030800,198656,39,88,0x036A56,0x06EA56,223830
0x030800,198656,40,104,0x036AD9,0x06EAD9,223961
0x030800,198656,41,98,0x036B64,0x06EB64,224100
0x030800,198656,42,94,0x036BF2,0x06EBF2,224242
0x030800,198656,43,84,0x036C5D,0x06EC5D,224349
0x030800,198656,44,88,0x036CCB,0x06ECCB,224459
0x030800,198656,45,104,0x036D4E,0x06ED4E,224590
0x030800,198656,46,98,0x036DD9,0x06EDD9,224729
0x030800,198656,47,94,0x036E67,0x06EE67,224871
0x030800,198656,48,25,0x035B17,0x06DB17,219927
0x030800,198656,49,16,0x035B75,0x06DB75,220021
0x030800,198656,50,16,0x035BCC,0x06DBCC,220108
0x030800,198656,51,25,0x035C26,0x06DC26,220198
0x030800,198656,52,16,0x035C9A,0x06DC9A,220314
0x030800,198656,53,16,0x035CEB,0x06DCEB,220395
0x030800,198656,54,16,0x035D4B,0x06DD4B,220491
0x030800,198656,55,19,0x035DA4,0x06DDA4,220580
0x030800,198656,56,16,0x035DF9,0x06DDF9,220665
0x030800,198656,57,19,0x035E4B,0x06DE4B,220747
0x030800,198656,58,24,0x035E9F,0x06DE9F,220831
0x030800,198656,59,24,0x035EF1,0x06DEF1,220913
0x030800,198656,60,23,0x035F41,0x06DF41,220993
0x030800,198656,61,16,0x035F9B,0x06DF9B,221083
0x030800,198656,62,16,0x035FE6,0x06DFE6,221158
0x030800,198656,63,24,0x036041,0x06E041,221249
0x030800,198656,64,20,0x03609D,0x06E09D,221341
0x030800,198656,65,27,0x036114,0x06E114,221460
0x030800,198656,66,22,0x036186,0x06E186,221574
0x030800,198656,67,19,0x0361E2,0x06E1E2,221666
0x030800,198656,68,13,0x036240,0x06E240,221760
0x030800,198656,69,13,0x036288,0x06E288,221832
0x030800,198656,70,20,0x0362E7,0x06E2E7,221927
0x030800,198656,71,27,0x03636F,0x06E36F,222063
0x030800,198656,72,46,0x0363C5,0x06E3C5,222149
0x030800,198656,73,28,0x036445,0x06E445,222277
0x030800,198656,74,13,0x0364B8,0x06E4B8,222392
0x030800,198656,75,13,0x036515,0x06E515,222485
0x030800,198656,76,38,0x0365A0,0x06E5A0,222624
0x030800,198656,77,28,0x03661A,0x06E61A,222746
0x030800,198656,78,22,0x036688,0x06E688,222856
0x030800,198656,79,29,0x0366EB,0x06E6EB,222955
0x030800,198656,80,13,0x036766,0x06E766,223078
0x030800,198656,81,26,0x0367C7,0x06E7C7,223175
0x030800,198656,82,43,0x036839,0x06E839,223289
0x030800,198656,83,35,0x0368CC,0x06E8CC,223436
0x030800,198656,84,44,0x036951,0x06E951,223569
0x030800,198656,85,13,0x0369DB,0x06E9DB,223707
0x030800,198656,86,26,0x036A3C,0x06EA3C,223804
0x030800,198656,87,43,0x036AAE,0x06EAAE,223918
0x030800,198656,88,35,0x036B41,0x06EB41,224065
0x030800,198656,89,44,0x036BC6,0x06EBC6,224198
0x030800,198656,90,13,0x036C50,0x06EC50,224336
0x030800,198656,91,26,0x036CB1,0x06ECB1,224433
0x030800,198656,92,43,0x036D23,0x06ED23,224547
0x030800,198656,93,35,0x036DB6,0x06EDB6,224694
0x030800,198656,94,44,0x036E3B,0x06EE3B,224827
0x030800,198656,95,13,0x036EC5,0x06EEC5,224965
