ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x111EE3,1122019,0,4682,0x11201F,0x22A01F,1122335
0x111EE3,1122019,1,4555,0x11209E,0x22A09E,1122462
0x111EE3,1122019,2,4440,0x112111,0x22A111,1122577
0x111EE3,1122019,3,4317,0x11218C,0x22A18C,1122700
0x111EE3,1122019,4,4193,0x112208,0x22A208,1122824
0x111EE3,1122019,5,4094,0x11226B,0x22A26B,1122923
0x111EE3,1122019,6,3998,0x1122CB,0x22A2CB,1123019
0x111EE3,1122019,7,3901,0x11232C,0x22A32C,1123116
0x111EE3,1122019,8,3839,0x11236A,0x22A36A,1123178
0x111EE3,1122019,9,3718,0x1123E3,0x22A3E3,1123299
0x111EE3,1122019,10,3611,0x11244E,0x22A44E,1123406
0x111EE3,1122019,11,3521,0x1124A8,0x22A4A8,1123496
0x111EE3,1122019,12,3440,0x1124F9,0x22A4F9,1123577
0x111EE3,1122019,13,3377,0x112538,0x22A538,1123640
0x111EE3,1122019,14,3318,0x112573,0x22A573,1123699
0x111EE3,1122019,15,3239,0x1125C2,0x22A5C2,1123778
0x111EE3,1122019,16,3094,0x112653,0x22A653,1123923
0x111EE3,1122019,17,3021,0x11269C,0x22A69C,1123996
0x111EE3,1122019,18,2899,0x112716,0x22A716,1124118
0x111EE3,1122019,19,2790,0x112783,0x22A783,1124227
0x111EE3,1122019,20,2717,0x1127CC,0x22A7CC,1124300
0x111EE3,1122019,21,2628,0x112825,0x22A825,1124389
0x111EE3,1122019,22,2497,0x1128A8,0x22A8A8,1124520
0x111EE3,1122019,23,2381,0x11291C,0x22A91C,1124636
0x111EE3,1122019,24,2296,0x112971,0x22A971,1124721
0x111EE3,1122019,25,2221,0x1129BC,0x22A9BC,1124796
0x111EE3,1122019,26,2142,0x112A0B,0x22AA0B,1124875
0x111EE3,1122019,27,2081,0x112A48,0x22AA48,1124936
0x111EE3,1122019,28,1994,0x112A9F,0x22AA9F,1125023
0x111EE3,1122019,29,1918,0x112AEB,0x22AAEB,1125099
0x111EE3,1122019,30,1848,0x112B31,0x22AB31,1125169
0x111EE3,1122019,31,1783,0x112B72,0x22AB72,1125234
0x111EE3,1122019,32,1705,0x112BC0,0x22ABC0,1125312
0x111EE3,1122019,33,1662,0x112BEB,0x22ABEB,1125355
0x111EE3,1122019,34,1597,0x112C2C,0x22AC2C,1125420
0x111EE3,1122019,35,1497,0x112C90,0x22AC90,1125520
0x111EE3,1122019,36,1397,0x112CF4,0x22ACF4,1125620
0x111EE3,1122019,37,1263,0x112D7A,0x22AD7A,1125754
0x111EE3,1122019,38,1218,0x112DA7,0x22ADA7,1125799
0x111EE3,1122019,39,1132,0x112DFD,0x22ADFD,1125885
0x111EE3,1122019,40,1109,0x112E14,0x22AE14,1125908
0x111EE3,1122019,41,1060,0x112E45,0x22AE45,1125957
0x111EE3,1122019,42,988,0x112E8D,0x22AE8D,1126029
0x111EE3,1122019,43,905,0x112EE0,0x22AEE0,1126112
0x111EE3,1122019,44,873,0x112F00,0x22AF00,1126144
0x111EE3,1122019,45,815,0x112F3A,0x22AF3A,1126202
0x111EE3,1122019,46,760,0x112F71,0x22AF71,1126257
0x111EE3,1122019,47,695,0x112FB2,0x22AFB2,1126322
0x111EE3,1122019,48,636,0x112FED,0x22AFED,1126381
0x111EE3,1122019,49,549,0x113044,0x22B044,1126468
0x111EE3,1122019,50,501,0x113074,0x22B074,1126516
0x111EE3,1122019,51,442,0x1130AF,0x22B0AF,1126575
0x111EE3,1122019,52,384,0x1130E9,0x22B0E9,1126633
0x111EE3,1122019,53,322,0x113127,0x22B127,1126695
0x111EE3,1122019,54,291,0x113146,0x22B146,1126726
0x111EE3,1122019,55,245,0x113174,0x22B174,1126772
0x111EE3,1122019,56,223,0x11318A,0x22B18A,1126794
0x111EE3,1122019,57,201,0x1131A0,0x22B1A0,1126816
0x111EE3,1122019,58,196,0x1131A5,0x22B1A5,1126821
0x111EE3,1122019,59,6,0x113269,0x22B269,1127017
0x111EE3,1122019,60,12,0x11326F,0x22B26F,1127023
0x111EE3,1122019,61,12,0x11327B,0x22B27B,1127035
0x111EE3,1122019,62,14,0x113287,0x22B287,1127047
0x111EE3,1122019,63,13,0x113295,0x22B295,1127061
0x111EE3,1122019,64,13,0x1132A2,0x22B2A2,1127074
0x111EE3,1122019,65,13,0x1132AF,0x22B2AF,1127087
0x111EE3,1122019,66,17,0x1132BC,0x22B2BC,1127100
0x111EE3,1122019,67,17,0x1132CD,0x22B2CD,1127117
0x111EE3,1122019,68,15,0x1132DE,0x22B2DE,1127134
0x111EE3,1122019,69,12,0x1132ED,0x22B2ED,1127149
0x111EE3,1122019,70,15,0x1132F9,0x22B2F9,1127161
0x111EE3,1122019,71,11,0x113308,0x22B308,1127176
0x111EE3,1122019,72,9,0x113313,0x22B313,1127187
0x111EE3,1122019,73,11,0x11331C,0x22B31C,1127196
0x111EE3,1122019,74,14,0x113327,0x22B327,1127207
0x111EE3,1122019,75,11,0x113335,0x22B335,1127221
0x111EE3,1122019,76,13,0x113340,0x22B340,1127232
0x111EE3,1122019,77,12,0x11334D,0x22B34D,1127245
0x111EE3,1122019,78,13,0x113359,0x22B359,1127257
0x111EE3,1122019,79,12,0x113366,0x22B366,1127270
0x111EE3,1122019,80,10,0x113372,0x22B372,1127282
0x111EE3,1122019,81,13,0x11337C,0x22B37C,1127292
0x111EE3,1122019,82,10,0x113389,0x22B389,1127305
0x111EE3,1122019,83,13,0x113393,0x22B393,1127315
0x111EE3,1122019,84,12,0x1133A0,0x22B3A0,1127328
0x111EE3,1122019,85,11,0x1133AC,0x22B3AC,1127340
0x111EE3,1122019,86,14,0x1133B7,0x22B3B7,1127351
0x111EE3,1122019,87,11,0x1133C5,0x22B3C5,1127365
0x111EE3,1122019,88,13,0x1133D0,0x22B3D0,1127376
0x111EE3,1122019,89,8,0x1133DD,0x22B3DD,1127389
0x111EE3,1122019,90,12,0x1133E5,0x22B3E5,1127397
0x111EE3,1122019,91,12,0x1133F1,0x22B3F1,1127409
0x111EE3,1122019,92,13,0x1133FD,0x22B3FD,1127421
0x111EE3,1122019,93,11,0x11340A,0x22B40A,1127434
0x111EE3,1122019,94,11,0x113415,0x22B415,1127445
0x111EE3,1122019,95,11,0x113420,0x22B420,1127456
0x111EE3,1122019,96,12,0x11342B,0x22B42B,1127467
0x111EE3,1122019,97,12,0x113437,0x22B437,1127479
0x111EE3,1122019,98,12,0x113443,0x22B443,1127491
0x111EE3,1122019,99,11,0x11344F,0x22B44F,1127503
0x111EE3,1122019,100,12,0x11345A,0x22B45A,1127514
0x111EE3,1122019,101,8,0x113466,0x22B466,1127526
0x111EE3,1122019,102,12,0x11346E,0x22B46E,1127534
0x111EE3,1122019,103,11,0x11347A,0x22B47A,1127546
0x111EE3,1122019,104,12,0x113485,0x22B485,1127557
0x111EE3,1122019,105,13,0x113491,0x22B491,1127569
0x111EE3,1122019,106,8,0x11349E,0x22B49E,1127582
0x111EE3,1122019,107,10,0x1134A6,0x22B4A6,1127590
0x111EE3,1122019,108,10,0x1134B0,0x22B4B0,1127600
0x111EE3,1122019,109,12,0x1134BA,0x22B4BA,1127610
0x111EE3,1122019,110,12,0x1134C6,0x22B4C6,1127622
0x111EE3,1122019,111,10,0x1134D2,0x22B4D2,1127634
0x111EE3,1122019,112,10,0x1134DC,0x22B4DC,1127644
0x111EE3,1122019,113,12,0x1134E6,0x22B4E6,1127654
0x111EE3,1122019,114,11,0x1134F2,0x22B4F2,1127666
0x111EE3,1122019,115,8,0x1134FD,0x22B4FD,1127677
0x111EE3,1122019,116,9,0x113505,0x22B505,1127685
0x111EE3,1122019,117,12,0x11350E,0x22B50E,1127694
0x111EE3,1122019,118,12,0x11350E,0x22B50E,1127694
0x111EE3,1122019,119,3,0x11003C,0x22803C,1114172
0x111EE3,1122019,120,2,0x11003D,0x22803D,1114173
0x111EE3,1122019,121,1,0x11003E,0x22803E,1114174
0x111EE3,1122019,122,1,0x11003F,0x22803F,1114175
0x111EE3,1122019,123,12,0x11350E,0x22B50E,1127694
0x111EE3,1122019,124,12,0x11351A,0x22B51A,1127706
0x111EE3,1122019,125,14,0x113526,0x22B526,1127718
0x111EE3,1122019,126,16,0x113534,0x22B534,1127732
0x111EE3,1122019,127,12,0x113544,0x22B544,1127748
0x111EE3,1122019,128,16,0x113550,0x22B550,1127760
0x111EE3,1122019,129,3,0x113560,0x22B560,1127776
0x111EE3,1122019,130,3,0x113563,0x22B563,1127779
0x111EE3,1122019,131,45,0x113666,0x22B666,1128038
0x111EE3,1122019,132,46,0x113693,0x22B693,1128083
0x111EE3,1122019,133,45,0x1136C1,0x22B6C1,1128129
0x111EE3,1122019,134,45,0x1136EE,0x22B6EE,1128174
0x111EE3,1122019,135,46,0x11371B,0x22B71B,1128219
0x111EE3,1122019,136,45,0x113749,0x22B749,1128265
0x111EE3,1122019,137,48,0x113776,0x22B776,1128310
0x111EE3,1122019,138,41,0x1137A6,0x22B7A6,1128358
0x111EE3,1122019,139,42,0x1137CF,0x22B7CF,1128399
0x111EE3,1122019,140,43,0x1137F9,0x22B7F9,1128441
0x111EE3,1122019,141,43,0x113824,0x22B824,1128484
0x111EE3,1122019,142,39,0x11384F,0x22B84F,1128527
0x111EE3,1122019,143,47,0x113876,0x22B876,1128566
0x111EE3,1122019,144,45,0x1138A5,0x22B8A5,1128613
0x111EE3,1122019,145,45,0x1138D2,0x22B8D2,1128658
0x111EE3,1122019,146,43,0x1138FF,0x22B8FF,1128703
0x111EE3,1122019,147,25,0x11392A,0x22B92A,1128746
0x111EE3,1122019,148,3,0x110011,0x228011,1114129
0x111EE3,1122019,149,1,0x110012,0x228012,1114130
0x111EE3,1122019,150,1,0x110013,0x228013,1114131
0x111EE3,1122019,151,11,0x113943,0x22B943,1128771
0x111EE3,1122019,152,11,0x113972,0x22B972,1128818
0x111EE3,1122019,153,11,0x11399E,0x22B99E,1128862
0x111EE3,1122019,154,11,0x1139C9,0x22B9C9,1128905
0x111EE3,1122019,155,11,0x1139FE,0x22B9FE,1128958
0x111EE3,1122019,156,11,0x113A33,0x22BA33,1129011
0x111EE3,1122019,157,11,0x113A65,0x22BA65,1129061
