ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x1B0000,1769472,0,54,0x1B1759,0x369759,1775449
0x1B0000,1769472,1,23,0x1B178F,0x36978F,1775503
0x1B0000,1769472,2,15,0x1B17A6,0x3697A6,1775526
0x1B0000,1769472,3,41,0x1B17B5,0x3697B5,1775541
0x1B0000,1769472,4,49,0x1B17DE,0x3697DE,1775582
0x1B0000,1769472,5,53,0x1B180F,0x36980F,1775631
0x1B0000,1769472,6,25,0x1B1844,0x369844,1775684
0x1B0000,1769472,7,43,0x1B185D,0x36985D,1775709
0x1B0000,1769472,8,23,0x1B1888,0x369888,1775752
0x1B0000,1769472,9,21,0x1B189F,0x36989F,1775775
0x1B0000,1769472,10,28,0x1B18B4,0x3698B4,1775796
0x1B0000,1769472,11,73,0x1B18D0,0x3698D0,1775824
0x1B0000,1769472,12,75,0x1B1919,0x369919,1775897
0x1B0000,1769472,13,58,0x1B1964,0x369964,1775972
0x1B0000,1769472,14,39,0x1B199E,0x36999E,1776030
0x1B0000,1769472,15,75,0x1B19C5,0x3699C5,1776069
0x1B0000,1769472,16,15,0x1B1A10,0x369A10,1776144
0x1B0000,1769472,17,74,0x1B1A1F,0x369A1F,1776159
0x1B0000,1769472,18,46,0x1B1A69,0x369A69,1776233
0x1B0000,1769472,19,44,0x1B1A97,0x369A97,1776279
0x1B0000,1769472,20,62,0x1B1AC3,0x369AC3,1776323
0x1B0000,1769472,21,89,0x1B1B01,0x369B01,1776385
0x1B0000,1769472,22,12,0x1B1B5A,0x369B5A,1776474
0x1B0000,1769472,23,25,0x1B1B66,0x369B66,1776486
0x1B0000,1769472,24,15,0x1B1B7F,0x369B7F,1776511
0x1B0000,1769472,25,94,0x1B1B8E,0x369B8E,1776526
0x1B0000,1769472,26,29,0x1B1BEC,0x369BEC,1776620
0x1B0000,1769472,27,13,0x1B1C09,0x369C09,1776649
0x1B0000,1769472,28,19,0x1B1C16,0x369C16,1776662
0x1B0000,1769472,29,10,0x1B1C29,0x369C29,1776681
0x1B0000,1769472,30,20,0x1B1C33,0x369C33,1776691
0x1B0000,1769472,31,7,0x1B1C47,0x369C47,1776711
0x1B0000,1769472,32,21,0x1B1C4E,0x369C4E,1776718
0x1B0000,1769472,33,21,0x1B1C63,0x369C63,1776739
0x1B0000,1769472,34,33,0x1B1C78,0x369C78,1776760
0x1B0000,1769472,35,6,0x1B1C99,0x369C99,1776793
0x1B0000,1769472,36,20,0x1B1C9F,0x369C9F,1776799
0x1B0000,1769472,37,23,0x1B1CB3,0x369CB3,1776819
0x1B0000,1769472,38,10,0x1B1CCA,0x369CCA,1776842
0x1B0000,1769472,39,34,0x1B1CD4,0x369CD4,1776852
0x1B0000,1769472,40,39,0x1B1CF6,0x369CF6,1776886
0x1B0000,1769472,41,19,0x1B1D1D,0x369D1D,1776925
0x1B0000,1769472,42,70,0x1B1D30,0x369D30,1776944
0x1B0000,1769472,43,22,0x1B1D87,0x369D87,1777031
0x1B0000,1769472,44,41,0x1B1D9D,0x369D9D,1777053
0x1B0000,1769472,45,47,0x1B1DC6,0x369DC6,1777094
0x1B0000,1769472,46,76,0x1B1DF5,0x369DF5,1777141
0x1B0000,1769472,47,61,0x1B1E41,0x369E41,1777217
0x1B0000,1769472,48,26,0x1B1E7E,0x369E7E,1777278
0x1B0000,1769472,49,42,0x1B1E98,0x369E98,1777304
0x1B0000,1769472,50,25,0x1B1EC2,0x369EC2,1777346
0x1B0000,1769472,51,90,0x1B1EDB,0x369EDB,1777371
0x1B0000,1769472,52,54,0x1B1F35,0x369F35,1777461
0x1B0000,1769472,53,34,0x1B1F6B,0x369F6B,1777515
0x1B0000,1769472,54,69,0x1B1F8D,0x369F8D,1777549
0x1B0000,1769472,55,43,0x1B1FD2,0x369FD2,1777618
0x1B0000,1769472,56,23,0x1B1FFD,0x369FFD,1777661
0x1B0000,1769472,57,62,0x1B2014,0x36A014,1777684
0x1B0000,1769472,58,72,0x1B2052,0x36A052,1777746
0x1B0000,1769472,59,16,0x1B209A,0x36A09A,1777818
0x1B0000,1769472,60,23,0x1B20AA,0x36A0AA,1777834
0x1B0000,1769472,61,40,0x1B20C1,0x36A0C1,1777857
0x1B0000,1769472,62,26,0x1B20E9,0x36A0E9,1777897
0x1B0000,1769472,63,39,0x1B2103,0x36A103,1777923
0x1B0000,1769472,64,117,0x1B212A,0x36A12A,1777962
0x1B0000,1769472,65,28,0x1B219F,0x36A19F,1778079
0x1B0000,1769472,66,14,0x1B21BB,0x36A1BB,1778107
0x1B0000,1769472,67,45,0x1B21C9,0x36A1C9,1778121
0x1B0000,1769472,68,11,0x1B21F6,0x36A1F6,1778166
0x1B0000,1769472,69,19,0x1B2201,0x36A201,1778177
0x1B0000,1769472,70,46,0x1B2214,0x36A214,1778196
0x1B0000,1769472,71,11,0x1B2242,0x36A242,1778242
0x1B0000,1769472,72,76,0x1B224D,0x36A24D,1778253
0x1B0000,1769472,73,39,0x1B2299,0x36A299,1778329
0x1B0000,1769472,74,18,0x1B22C0,0x36A2C0,1778368
0x1B0000,1769472,75,29,0x1B22D2,0x36A2D2,1778386
0x1B0000,1769472,76,24,0x1B22EF,0x36A2EF,1778415
0x1B0000,1769472,77,53,0x1B2307,0x36A307,1778439
0x1B0000,1769472,78,49,0x1B233C,0x36A33C,1778492
0x1B0000,1769472,79,13,0x1B236D,0x36A36D,1778541
0x1B0000,1769472,80,76,0x1B237A,0x36A37A,1778554
0x1B0000,1769472,81,102,0x1B23C6,0x36A3C6,1778630
0x1B0000,1769472,82,92,0x1B242C,0x36A42C,1778732
0x1B0000,1769472,83,22,0x1B2488,0x36A488,1778824
0x1B0000,1769472,84,39,0x1B249E,0x36A49E,1778846
0x1B0000,1769472,85,69,0x1B24C5,0x36A4C5,1778885
0x1B0000,1769472,86,49,0x1B250A,0x36A50A,1778954
0x1B0000,1769472,87,82,0x1B253B,0x36A53B,1779003
0x1B0000,1769472,88,46,0x1B258D,0x36A58D,1779085
0x1B0000,1769472,89,98,0x1B25BB,0x36A5BB,1779131
0x1B0000,1769472,90,19,0x1B261D,0x36A61D,1779229
0x1B0000,1769472,91,46,0x1B2630,0x36A630,1779248
0x1B0000,1769472,92,48,0x1B265E,0x36A65E,1779294
0x1B0000,1769472,93,17,0x1B268E,0x36A68E,1779342
0x1B0000,1769472,94,1,0x1B269F,0x36A69F,1779359
0x1B0000,1769472,95,1,0x1B26A0,0x36A6A0,1779360
0x1B0000,1769472,96,74,0x1B26A1,0x36A6A1,1779361
0x1B0000,1769472,97,48,0x1B26EB,0x36A6EB,1779435
0x1B0000,1769472,98,99,0x1B271B,0x36A71B,1779483
0x1B0000,1769472,99,109,0x1B277E,0x36A77E,1779582
0x1B0000,1769472,100,33,0x1B27EB,0x36A7EB,1779691
0x1B0000,1769472,101,68,0x1B280C,0x36A80C,1779724
0x1B0000,1769472,102,55,0x1B2850,0x36A850,1779792
0x1B0000,1769472,103,21,0x1B2887,0x36A887,1779847
0x1B0000,1769472,104,15,0x1B289C,0x36A89C,1779868
0x1B0000,1769472,105,9,0x1B28AB,0x36A8AB,1779883
0x1B0000,1769472,106,21,0x1B28B4,0x36A8B4,1779892
0x1B0000,1769472,107,36,0x1B28C9,0x36A8C9,1779913
0x1B0000,1769472,108,22,0x1B28ED,0x36A8ED,1779949
0x1B0000,1769472,109,73,0x1B2903,0x36A903,1779971
0x1B0000,1769472,110,41,0x1B294C,0x36A94C,1780044
0x1B0000,1769472,111,9,0x1B2975,0x36A975,1780085
0x1B0000,1769472,112,15,0x1B297E,0x36A97E,1780094
0x1B0000,1769472,113,23,0x1B298D,0x36A98D,1780109
0x1B0000,1769472,114,83,0x1B29A4,0x36A9A4,1780132
0x1B0000,1769472,115,32,0x1B29F7,0x36A9F7,1780215
0x1B0000,1769472,116,104,0x1B2A17,0x36AA17,1780247
0x1B0000,1769472,117,26,0x1B2A7F,0x36AA7F,1780351
0x1B0000,1769472,118,68,0x1B2A99,0x36AA99,1780377
0x1B0000,1769472,119,27,0x1B2ADD,0x36AADD,1780445
0x1B0000,1769472,120,27,0x1B2AF8,0x36AAF8,1780472
0x1B0000,1769472,121,151,0x1B2B13,0x36AB13,1780499
0x1B0000,1769472,122,12,0x1B2BAA,0x36ABAA,1780650
0x1B0000,1769472,123,52,0x1B2BB6,0x36ABB6,1780662
0x1B0000,1769472,124,8,0x1B2BEA,0x36ABEA,1780714
0x1B0000,1769472,125,70,0x1B2BF2,0x36ABF2,1780722
0x1B0000,1769472,126,18,0x1B2C38,0x36AC38,1780792
0x1B0000,1769472,127,138,0x1B2C4A,0x36AC4A,1780810
0x1B0000,1769472,128,28,0x1B2CD4,0x36ACD4,1780948
0x1B0000,1769472,129,57,0x1B2CF0,0x36ACF0,1780976
0x1B0000,1769472,130,43,0x1B2D29,0x36AD29,1781033
0x1B0000,1769472,131,55,0x1B2D54,0x36AD54,1781076
0x1B0000,1769472,132,9,0x1B2D8B,0x36AD8B,1781131
0x1B0000,1769472,133,87,0x1B2D94,0x36AD94,1781140
0x1B0000,1769472,134,14,0x1B2DEB,0x36ADEB,1781227
0x1B0000,1769472,135,51,0x1B2DF9,0x36ADF9,1781241
0x1B0000,1769472,136,19,0x1B2E2C,0x36AE2C,1781292
0x1B0000,1769472,137,30,0x1B2E3F,0x36AE3F,1781311
0x1B0000,1769472,138,37,0x1B2E5D,0x36AE5D,1781341
0x1B0000,1769472,139,101,0x1B2E82,0x36AE82,1781378
0x1B0000,1769472,140,20,0x1B2EE7,0x36AEE7,1781479
0x1B0000,1769472,141,64,0x1B2EFB,0x36AEFB,1781499
0x1B0000,1769472,142,24,0x1B2F3B,0x36AF3B,1781563
0x1B0000,1769472,143,70,0x1B2F53,0x36AF53,1781587
0x1B0000,1769472,144,25,0x1B2F99,0x36AF99,1781657
0x1B0000,1769472,145,70,0x1B2FB2,0x36AFB2,1781682
0x1B0000,1769472,146,69,0x1B2FF8,0x36AFF8,1781752
0x1B0000,1769472,147,85,0x1B303D,0x36B03D,1781821
0x1B0000,1769472,148,38,0x1B3092,0x36B092,1781906
0x1B0000,1769472,149,41,0x1B30B8,0x36B0B8,1781944
0x1B0000,1769472,150,104,0x1B32ED,0x36B2ED,1782509
0x1B0000,1769472,151,13,0x1B30E1,0x36B0E1,1781985
0x1B0000,1769472,152,59,0x1B30EE,0x36B0EE,1781998
0x1B0000,1769472,153,42,0x1B3129,0x36B129,1782057
0x1B0000,1769472,154,73,0x1B3153,0x36B153,1782099
0x1B0000,1769472,155,13,0x1B319C,0x36B19C,1782172
0x1B0000,1769472,156,22,0x1B31A9,0x36B1A9,1782185
0x1B0000,1769472,157,36,0x1B31BF,0x36B1BF,1782207
0x1B0000,1769472,158,54,0x1B31E3,0x36B1E3,1782243
0x1B0000,1769472,159,9,0x1B3219,0x36B219,1782297
0x1B0000,1769472,160,25,0x1B3222,0x36B222,1782306
0x1B0000,1769472,161,30,0x1B323B,0x36B23B,1782331
0x1B0000,1769472,162,33,0x1B3259,0x36B259,1782361
0x1B0000,1769472,163,43,0x1B327A,0x36B27A,1782394
0x1B0000,1769472,164,10,0x1B32A5,0x36B2A5,1782437
0x1B0000,1769472,165,19,0x1B32AF,0x36B2AF,1782447
0x1B0000,1769472,166,43,0x1B32C2,0x36B2C2,1782466
0x1B0000,1769472,167,13,0x1B3355,0x36B355,1782613
0x1B0000,1769472,168,29,0x1B3362,0x36B362,1782626
0x1B0000,1769472,169,30,0x1B337F,0x36B37F,1782655
0x1B0000,1769472,170,25,0x1B339D,0x36B39D,1782685
0x1B0000,1769472,171,40,0x1B33B6,0x36B3B6,1782710
0x1B0000,1769472,172,43,0x1B33DE,0x36B3DE,1782750
0x1B0000,1769472,173,23,0x1B3409,0x36B409,1782793
0x1B0000,1769472,174,93,0x1B3420,0x36B420,1782816
0x1B0000,1769472,175,25,0x1B347D,0x36B47D,1782909
0x1B0000,1769472,176,18,0x1B3496,0x36B496,1782934
0x1B0000,1769472,177,13,0x1B34A8,0x36B4A8,1782952
0x1B0000,1769472,178,16,0x1B34B5,0x36B4B5,1782965
