ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x050101,327937,0,222,0x050023,0x0A8023,327715
0x050101,327937,1,38,0x052500,0x0AA500,337152
0x050101,327937,2,15,0x050942,0x0A8942,330050
0x050101,327937,3,4,0x05012A,0x0A812A,327978
0x050101,327937,4,1,0x050100,0x0A8100,327936
0x050101,327937,5,5,0x05260A,0x0AA60A,337418
0x050101,327937,6,6,0x051502,0x0A9502,333058
0x050101,327937,7,3,0x052380,0x0AA380,336768
0x050101,327937,8,106,0x050097,0x0A8097,327831
0x050101,327937,9,20,0x05042B,0x0A842B,328747
0x050101,327937,10,41,0x050400,0x0A8400,328704
0x050101,327937,11,11,0x050005,0x0A8005,327685
0x050101,327937,12,34,0x052300,0x0AA300,336640
0x050101,327937,13,38,0x050E28,0x0A8E28,331304
0x050101,327937,14,6,0x05102A,0x0A902A,331818
0x050101,327937,15,1,0x050100,0x0A8100,327936
0x050101,327937,16,24,0x05230A,0x0AA30A,336650
0x050101,327937,17,107,0x050096,0x0A8096,327830
0x050101,327937,18,19,0x05062A,0x0A862A,329258
0x050101,327937,19,1,0x050100,0x0A8100,327936
0x050101,327937,20,2,0x05100A,0x0A900A,331786
0x050101,327937,21,2,0x057FFF,0x0AFFFF,360447
0x050101,327937,22,8,0x050500,0x0A8500,328960
0x050101,327937,23,37,0x05034C,0x0A834C,328524
0x050101,327937,24,10,0x056FF9,0x0AEFF9,356345
0x050101,327937,25,35,0x052096,0x0AA096,336022
0x050101,327937,26,8,0x0567A8,0x0AE7A8,354216
0x050101,327937,27,37,0x0533AC,0x0AB3AC,340908
0x050101,327937,28,18,0x053FC0,0x0ABFC0,344000
0x050101,327937,29,8,0x0530AC,0x0AB0AC,340140
0x050101,327937,30,13,0x051C1C,0x0A9C1C,334876
0x050101,327937,31,137,0x057EFF,0x0AFEFF,360191
0x050101,327937,32,4,0x050000,0x0A8000,327680
0x050101,327937,33,105,0x057F1F,0x0AFF1F,360223
0x050101,327937,34,2,0x050427,0x0A8427,328743
0x050101,327937,35,10,0x05550E,0x0AD50E,349454
0x050101,327937,36,6,0x05000A,0x0A800A,327690
0x050101,327937,37,224,0x050021,0x0A8021,327713
0x050101,327937,38,5,0x050900,0x0A8900,329984
0x050101,327937,39,12,0x052200,0x0AA200,336384
0x050101,327937,40,69,0x051723,0x0A9723,333603
0x050101,327937,41,20,0x050580,0x0A8580,329088
0x050101,327937,42,3,0x050001,0x0A8001,327681
0x050101,327937,43,4,0x05012A,0x0A812A,327978
0x050101,327937,44,4,0x050468,0x0A8468,328808
0x050101,327937,45,24,0x05230A,0x0AA30A,336650
0x050101,327937,46,107,0x050096,0x0A8096,327830
0x050101,327937,47,61,0x050513,0x0A8513,328979
0x050101,327937,48,4,0x0503B5,0x0A83B5,328629
0x050101,327937,49,1,0x05130A,0x0A930A,332554
0x050101,327937,50,130,0x057A04,0x0AFA04,358916
0x050101,327937,51,7,0x050A81,0x0A8A81,330369
