data_table_dec,index,length,pc_dec
74976,0,24,74976
74976,1,24,75000
74976,2,24,75024
74976,3,24,75048
74976,4,24,75072
74976,5,24,75096
74976,6,24,75120
74976,7,24,75144
74976,8,24,75168
74976,9,24,75192
74976,10,24,75216
74976,11,24,75240
74976,12,24,75264
74976,13,24,75288
74976,14,24,75312
74976,15,24,75336
74976,16,24,75360
74976,17,24,75384
74976,18,24,75408
74976,19,24,75432
74976,20,24,75456
74976,21,24,75480
74976,22,24,75504
74976,23,24,75528
74976,24,24,75552
74976,25,24,75576
74976,26,24,75600
74976,27,24,75624
74976,28,24,75648
74976,29,24,75672
74976,30,24,75696
74976,31,24,75720
74976,32,24,75744
74976,33,24,75768
74976,34,24,75792
74976,35,24,75816
74976,36,24,75840
74976,37,24,75864
74976,38,24,75888
74976,39,24,75912
74976,40,24,75936
74976,41,24,75960
74976,42,24,75984
74976,43,24,76008
74976,44,24,76032
74976,45,24,76056
74976,46,24,76080
74976,47,24,76104
74976,48,24,76128
74976,49,24,76152
74976,50,24,76176
74976,51,24,76200
74976,52,24,76224
74976,53,24,76248
74976,54,24,76272
74976,55,24,76296
74976,56,24,76320
74976,57,24,76344
74976,58,24,76368
74976,59,24,76392
74976,60,24,76416
74976,61,24,76440
74976,62,24,76464
74976,63,24,76488
74976,64,24,76512
74976,65,24,76536
74976,66,24,76560
74976,67,24,76584
74976,68,24,76608
74976,69,24,76632
74976,70,24,76656
74976,71,24,76680
74976,72,24,76704
74976,73,24,76728
74976,74,24,76752
74976,75,24,76776
74976,76,24,76800
74976,77,24,76824
74976,78,24,76848
74976,79,24,76872
74976,80,24,76896
74976,81,24,76920
74976,82,24,76944
74976,83,24,76968
74976,84,24,76992
74976,85,24,77016
74976,86,24,77040
74976,87,24,77064
74976,88,24,77088
74976,89,24,77112
74976,90,24,77136
74976,91,24,77160
74976,92,24,77184
74976,93,24,77208
74976,94,24,77232
74976,95,24,77256
74976,96,24,77280
74976,97,24,77304
74976,98,24,77328
74976,99,24,77352
74976,100,24,77376
74976,101,24,77400
74976,102,24,77424
74976,103,24,77448
74976,104,24,77472
74976,105,24,77496
74976,106,24,77520
74976,107,24,77544
74976,108,24,77568
74976,109,24,77592
74976,110,24,77616
74976,111,24,77640
74976,112,24,77664
74976,113,24,77688
74976,114,24,77712
74976,115,24,77736
74976,116,24,77760
74976,117,24,77784
74976,118,24,77808
74976,119,24,77832
74976,120,24,77856
74976,121,24,77880
74976,122,24,77904
74976,123,24,77928
74976,124,24,77952
74976,125,24,77976
74976,126,24,78000
74976,127,24,78024
