ptr_table_hex,ptr_table_dec,index,length,pc,lorom,pc_dec
0x030000,196608,0,59,0x030A00,0x068A00,199168
0x030000,196608,1,49,0x030A3B,0x068A3B,199227
0x030000,196608,2,58,0x030A6C,0x068A6C,199276
0x030000,196608,3,74,0x030AA6,0x068AA6,199334
0x030000,196608,4,59,0x030AF0,0x068AF0,199408
0x030000,196608,5,52,0x030B2B,0x068B2B,199467
0x030000,196608,6,51,0x030B5F,0x068B5F,199519
0x030000,196608,7,67,0x030B92,0x068B92,199570
0x030000,196608,8,83,0x030BD5,0x068BD5,199637
0x030000,196608,9,73,0x030C28,0x068C28,199720
0x030000,196608,10,61,0x030C71,0x068C71,199793
0x030000,196608,11,63,0x030CAE,0x068CAE,199854
0x030000,196608,12,75,0x030CED,0x068CED,199917
0x030000,196608,13,76,0x030D38,0x068D38,199992
0x030000,196608,14,67,0x030D84,0x068D84,200068
0x030000,196608,15,73,0x030DC7,0x068DC7,200135
0x030000,196608,16,79,0x030E10,0x068E10,200208
0x030000,196608,17,80,0x030E5F,0x068E5F,200287
0x030000,196608,18,61,0x030EAF,0x068EAF,200367
0x030000,196608,19,74,0x030EEC,0x068EEC,200428
0x030000,196608,20,52,0x030F36,0x068F36,200502
0x030000,196608,21,76,0x030F6A,0x068F6A,200554
0x030000,196608,22,68,0x030FB6,0x068FB6,200630
0x030000,196608,23,74,0x030FFA,0x068FFA,200698
0x030000,196608,24,60,0x031044,0x069044,200772
0x030000,196608,25,71,0x031080,0x069080,200832
0x030000,196608,26,65,0x0310C7,0x0690C7,200903
0x030000,196608,27,67,0x031108,0x069108,200968
0x030000,196608,28,54,0x03114B,0x06914B,201035
0x030000,196608,29,49,0x031181,0x069181,201089
0x030000,196608,30,78,0x0311B2,0x0691B2,201138
0x030000,196608,31,83,0x031200,0x069200,201216
0x030000,196608,32,69,0x031253,0x069253,201299
0x030000,196608,33,59,0x031298,0x069298,201368
0x030000,196608,34,79,0x0312D3,0x0692D3,201427
0x030000,196608,35,80,0x031322,0x069322,201506
0x030000,196608,36,62,0x031372,0x069372,201586
0x030000,196608,37,77,0x0313B0,0x0693B0,201648
0x030000,196608,38,74,0x0313FD,0x0693FD,201725
0x030000,196608,39,67,0x031447,0x069447,201799
0x030000,196608,40,73,0x03148A,0x06948A,201866
0x030000,196608,41,44,0x0314D3,0x0694D3,201939
0x030000,196608,42,47,0x0314FF,0x0694FF,201983
0x030000,196608,43,72,0x03152E,0x06952E,202030
0x030000,196608,44,61,0x031576,0x069576,202102
0x030000,196608,45,65,0x0315B3,0x0695B3,202163
0x030000,196608,46,65,0x0315F4,0x0695F4,202228
0x030000,196608,47,62,0x031635,0x069635,202293
0x030000,196608,48,62,0x031673,0x069673,202355
0x030000,196608,49,43,0x0316B1,0x0696B1,202417
0x030000,196608,50,57,0x0316DC,0x0696DC,202460
0x030000,196608,51,65,0x031715,0x069715,202517
0x030000,196608,52,49,0x031756,0x069756,202582
0x030000,196608,53,1,0x031787,0x069787,202631
0x030000,196608,54,1,0x031788,0x069788,202632
0x030000,196608,55,1,0x031789,0x069789,202633
0x030000,196608,56,1,0x03178A,0x06978A,202634
0x030000,196608,57,1,0x03178B,0x06978B,202635
0x030000,196608,58,1,0x03178C,0x06978C,202636
0x030000,196608,59,1,0x03178D,0x06978D,202637
0x030000,196608,60,1,0x03178E,0x06978E,202638
0x030000,196608,61,1,0x03178F,0x06978F,202639
0x030000,196608,62,1,0x031790,0x069790,202640
0x030000,196608,63,1,0x031791,0x069791,202641
0x030000,196608,64,68,0x031792,0x069792,202642
0x030000,196608,65,72,0x0317D6,0x0697D6,202710
0x030000,196608,66,75,0x03181E,0x06981E,202782
0x030000,196608,67,74,0x031869,0x069869,202857
0x030000,196608,68,71,0x0318B3,0x0698B3,202931
0x030000,196608,69,72,0x0318FA,0x0698FA,203002
0x030000,196608,70,66,0x031942,0x069942,203074
0x030000,196608,71,46,0x031984,0x069984,203140
0x030000,196608,72,78,0x0319B2,0x0699B2,203186
0x030000,196608,73,61,0x031A00,0x069A00,203264
0x030000,196608,74,77,0x031A3D,0x069A3D,203325
0x030000,196608,75,60,0x031A8A,0x069A8A,203402
0x030000,196608,76,75,0x031AC6,0x069AC6,203462
0x030000,196608,77,82,0x031B11,0x069B11,203537
0x030000,196608,78,59,0x031B63,0x069B63,203619
0x030000,196608,79,49,0x031B9E,0x069B9E,203678
0x030000,196608,80,76,0x031BCF,0x069BCF,203727
0x030000,196608,81,85,0x031C1B,0x069C1B,203803
0x030000,196608,82,81,0x031C70,0x069C70,203888
0x030000,196608,83,62,0x031CC1,0x069CC1,203969
0x030000,196608,84,1,0x031CFF,0x069CFF,204031
0x030000,196608,85,1,0x031D00,0x069D00,204032
0x030000,196608,86,71,0x031D01,0x069D01,204033
0x030000,196608,87,80,0x031D48,0x069D48,204104
0x030000,196608,88,74,0x031D98,0x069D98,204184
0x030000,196608,89,69,0x031DE2,0x069DE2,204258
0x030000,196608,90,78,0x031E27,0x069E27,204327
0x030000,196608,91,72,0x031E75,0x069E75,204405
0x030000,196608,92,74,0x031EBD,0x069EBD,204477
0x030000,196608,93,74,0x031F07,0x069F07,204551
0x030000,196608,94,1,0x031F51,0x069F51,204625
0x030000,196608,95,1,0x031F52,0x069F52,204626
0x030000,196608,96,1,0x031F53,0x069F53,204627
0x030000,196608,97,59,0x031F54,0x069F54,204628
0x030000,196608,98,1,0x031F8F,0x069F8F,204687
0x030000,196608,99,1,0x031F90,0x069F90,204688
0x030000,196608,100,73,0x031F91,0x069F91,204689
0x030000,196608,101,80,0x031FDA,0x069FDA,204762
0x030000,196608,102,77,0x03202A,0x06A02A,204842
0x030000,196608,103,66,0x032077,0x06A077,204919
0x030000,196608,104,1,0x0320B9,0x06A0B9,204985
0x030000,196608,105,56,0x0320BA,0x06A0BA,204986
0x030000,196608,106,86,0x0320F2,0x06A0F2,205042
0x030000,196608,107,1,0x032148,0x06A148,205128
0x030000,196608,108,1,0x032149,0x06A149,205129
0x030000,196608,109,1,0x03214A,0x06A14A,205130
0x030000,196608,110,1,0x03214B,0x06A14B,205131
0x030000,196608,111,1,0x03214C,0x06A14C,205132
0x030000,196608,112,1,0x03214D,0x06A14D,205133
0x030000,196608,113,1,0x03214E,0x06A14E,205134
0x030000,196608,114,78,0x03214F,0x06A14F,205135
0x030000,196608,115,77,0x03219D,0x06A19D,205213
0x030000,196608,116,1,0x0321EA,0x06A1EA,205290
0x030000,196608,117,1,0x0321EB,0x06A1EB,205291
0x030000,196608,118,1,0x0321EC,0x06A1EC,205292
0x030000,196608,119,1,0x0321ED,0x06A1ED,205293
0x030000,196608,120,1,0x0321EE,0x06A1EE,205294
0x030000,196608,121,1,0x0321EF,0x06A1EF,205295
0x030000,196608,122,1,0x0321F0,0x06A1F0,205296
0x030000,196608,123,1,0x0321F1,0x06A1F1,205297
0x030000,196608,124,1,0x0321F2,0x06A1F2,205298
0x030000,196608,125,1,0x0321F3,0x06A1F3,205299
0x030000,196608,126,1,0x0321F4,0x06A1F4,205300
0x030000,196608,127,1,0x0321F5,0x06A1F5,205301
0x030000,196608,128,68,0x0321F6,0x06A1F6,205302
0x030000,196608,129,67,0x03223A,0x06A23A,205370
0x030000,196608,130,50,0x03227D,0x06A27D,205437
0x030000,196608,131,74,0x0322AF,0x06A2AF,205487
0x030000,196608,132,55,0x0322F9,0x06A2F9,205561
0x030000,196608,133,70,0x032330,0x06A330,205616
0x030000,196608,134,48,0x032376,0x06A376,205686
0x030000,196608,135,77,0x0323A6,0x06A3A6,205734
0x030000,196608,136,63,0x0323F3,0x06A3F3,205811
